Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T037_001,SE_T037_002,SE_T037_003
"36001","05000US36001","Albany County, New York","Albany County, New York","ny","050","00","ACSSF","0000013",,,,,"36","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190037,17552,52551,50398,36177,22844,6166,4349,160040,150676,9364
"36003","05000US36003","Allegany County, New York","Allegany County, New York","ny","050","00","ACSSF","0000014",,,,,"36","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30449,3604,12102,8817,2883,2358,313,372,24492,22311,2181
"36005","05000US36005","Bronx County, New York","Bronx County, New York","ny","050","00","ACSSF","0000015",,,,,"36","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845901,264872,243380,189064,93821,40571,9502,4691,602323,535577,66746
"36007","05000US36007","Broome County, New York","Broome County, New York","ny","050","00","ACSSF","0000016",,,,,"36","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131986,16023,43367,38731,18646,11660,2098,1461,97114,91237,5877
"36009","05000US36009","Cattaraugus County, New York","Cattaraugus County, New York","ny","050","00","ACSSF","0000017",,,,,"36","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53117,7202,22278,14210,5114,3351,758,204,40235,37220,3015
"36011","05000US36011","Cayuga County, New York","Cayuga County, New York","ny","050","00","ACSSF","0000018",,,,,"36","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54758,8479,19607,16696,6113,2902,653,308,40224,37686,2538
"36013","05000US36013","Chautauqua County, New York","Chautauqua County, New York","ny","050","00","ACSSF","0000019",,,,,"36","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90269,12809,33494,26120,9955,6281,1070,540,65753,60764,4989
"36015","05000US36015","Chemung County, New York","Chemung County, New York","ny","050","00","ACSSF","0000020",,,,,"36","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59554,7946,22212,17154,6827,3754,1206,455,41543,38136,3407
"36017","05000US36017","Chenango County, New York","Chenango County, New York","ny","050","00","ACSSF","0000021",,,,,"36","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34760,5115,13956,9708,3514,1785,457,225,25150,23405,1745
"36019","05000US36019","Clinton County, New York","Clinton County, New York","ny","050","00","ACSSF","0000022",,,,,"36","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55783,9270,19971,14070,7357,4025,668,422,40853,37914,2939
"36021","05000US36021","Columbia County, New York","Columbia County, New York","ny","050","00","ACSSF","0000023",,,,,"36","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44006,5779,14454,11618,6583,3984,1045,543,32749,30750,1999
"36023","05000US36023","Cortland County, New York","Cortland County, New York","ny","050","00","ACSSF","0000024",,,,,"36","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28888,3402,10264,8171,4359,1852,490,350,24444,22906,1538
"36025","05000US36025","Delaware County, New York","Delaware County, New York","ny","050","00","ACSSF","0000025",,,,,"36","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32158,4526,12855,8926,3386,1924,308,233,22712,21111,1601
"36027","05000US36027","Dutchess County, New York","Dutchess County, New York","ny","050","00","ACSSF","0000026",,,,,"36","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193399,22001,58058,52691,34962,19483,3562,2642,150592,141529,9063
"36029","05000US36029","Erie County, New York","Erie County, New York","ny","050","00","ACSSF","0000027",,,,,"36","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623670,75414,190391,179852,100541,56993,13174,7305,462579,429898,32681
"36031","05000US36031","Essex County, New York","Essex County, New York","ny","050","00","ACSSF","0000028",,,,,"36","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27283,3218,9417,7607,4084,2342,419,196,18561,17430,1131
"36033","05000US36033","Franklin County, New York","Franklin County, New York","ny","050","00","ACSSF","0000029",,,,,"36","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34836,6159,14104,8914,3150,1959,326,224,21666,20211,1455
"36035","05000US36035","Fulton County, New York","Fulton County, New York","ny","050","00","ACSSF","0000030",,,,,"36","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38302,6824,15442,10462,3398,1818,242,116,26285,23830,2455
"36037","05000US36037","Genesee County, New York","Genesee County, New York","ny","050","00","ACSSF","0000031",,,,,"36","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39695,4377,15243,12899,4168,2555,352,101,30416,28447,1969
"36039","05000US36039","Greene County, New York","Greene County, New York","ny","050","00","ACSSF","0000032",,,,,"36","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33721,5205,12797,9250,3683,2155,413,218,22899,21432,1467
"36041","05000US36041","Hamilton County, New York","Hamilton County, New York","ny","050","00","ACSSF","0000033",,,,,"36","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3941,468,1455,1036,568,330,56,28,2423,2343,80
"36043","05000US36043","Herkimer County, New York","Herkimer County, New York","ny","050","00","ACSSF","0000034",,,,,"36","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43094,5674,16066,13547,4669,2583,370,185,31380,29280,2100
"36045","05000US36045","Jefferson County, New York","Jefferson County, New York","ny","050","00","ACSSF","0000035",,,,,"36","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71079,9024,26513,21935,7766,4792,802,247,51762,47426,4336
"36047","05000US36047","Kings County, New York","Kings County, New York","ny","050","00","ACSSF","0000036",,,,,"36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661225,370538,485696,335379,293878,127229,35171,13334,1193601,1096492,97109
"36049","05000US36049","Lewis County, New York","Lewis County, New York","ny","050","00","ACSSF","0000037",,,,,"36","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17462,2572,8246,4145,1464,861,140,34,12904,12100,804
"36051","05000US36051","Livingston County, New York","Livingston County, New York","ny","050","00","ACSSF","0000038",,,,,"36","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39175,4818,13828,11824,5088,2690,486,441,31161,29538,1623
"36053","05000US36053","Madison County, New York","Madison County, New York","ny","050","00","ACSSF","0000039",,,,,"36","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44464,5235,15554,13409,5865,3119,523,759,35792,33460,2332
"36055","05000US36055","Monroe County, New York","Monroe County, New York","ny","050","00","ACSSF","0000040",,,,,"36","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480279,55896,126717,132374,95039,52733,10337,7183,371746,346607,25139
"36057","05000US36057","Montgomery County, New York","Montgomery County, New York","ny","050","00","ACSSF","0000041",,,,,"36","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33248,5445,12870,9757,3063,1652,363,98,24023,22114,1909
"36059","05000US36059","Nassau County, New York","Nassau County, New York","ny","050","00","ACSSF","0000042",,,,,"36","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915019,93212,239935,212681,206286,110872,40377,11656,694997,659992,35005
"36061","05000US36061","New York County, New York","New York County, New York","ny","050","00","ACSSF","0000043",,,,,"36","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214754,183935,159419,171013,368120,206005,87947,38315,938448,866674,71774
"36063","05000US36063","Niagara County, New York","Niagara County, New York","ny","050","00","ACSSF","0000044",,,,,"36","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147218,18020,55486,45588,15853,9985,1567,719,107641,99492,8149
"36065","05000US36065","Oneida County, New York","Oneida County, New York","ny","050","00","ACSSF","0000045",,,,,"36","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156701,22628,54071,47280,19876,9600,2130,1116,110929,104028,6901
"36067","05000US36067","Onondaga County, New York","Onondaga County, New York","ny","050","00","ACSSF","0000046",,,,,"36","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301293,33629,84536,88137,54535,29744,6569,4143,233319,219041,14278
"36069","05000US36069","Ontario County, New York","Ontario County, New York","ny","050","00","ACSSF","0000047",,,,,"36","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70375,5881,20952,22578,12535,6596,1166,667,55980,52828,3152
"36071","05000US36071","Orange County, New York","Orange County, New York","ny","050","00","ACSSF","0000048",,,,,"36","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232218,30704,73850,65425,36461,20199,3724,1855,185307,173780,11527
"36073","05000US36073","Orleans County, New York","Orleans County, New York","ny","050","00","ACSSF","0000049",,,,,"36","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28297,4471,11770,7971,2587,1168,187,143,19670,17945,1725
"36075","05000US36075","Oswego County, New York","Oswego County, New York","ny","050","00","ACSSF","0000050",,,,,"36","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78676,11000,33263,22378,7426,3669,552,388,60558,54987,5571
"36077","05000US36077","Otsego County, New York","Otsego County, New York","ny","050","00","ACSSF","0000051",,,,,"36","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38424,4625,13819,9957,5453,3026,752,792,32627,30046,2581
"36079","05000US36079","Putnam County, New York","Putnam County, New York","ny","050","00","ACSSF","0000052",,,,,"36","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66699,4341,19806,17990,14165,7995,1479,923,51970,49403,2567
"36081","05000US36081","Queens County, New York","Queens County, New York","ny","050","00","ACSSF","0000053",,,,,"36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595437,323448,468988,343776,298135,117163,31104,12823,1185333,1092612,92721
"36083","05000US36083","Rensselaer County, New York","Rensselaer County, New York","ny","050","00","ACSSF","0000054",,,,,"36","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105018,11938,34303,31020,15417,9156,1907,1277,84936,79392,5544
"36085","05000US36085","Richmond County, New York","Richmond County, New York","ny","050","00","ACSSF","0000055",,,,,"36","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326594,41318,110989,83256,54207,27164,7280,2380,231163,217424,13739
"36087","05000US36087","Rockland County, New York","Rockland County, New York","ny","050","00","ACSSF","0000056",,,,,"36","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186415,21625,45773,44241,41451,25100,5587,2638,143753,136629,7124
"36089","05000US36089","St. Lawrence County, New York","St. Lawrence County, New York","ny","050","00","ACSSF","0000057",,,,,"36","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69162,10179,26990,19379,6684,4517,771,642,49742,45827,3915
"36091","05000US36091","Saratoga County, New York","Saratoga County, New York","ny","050","00","ACSSF","0000058",,,,,"36","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148283,12936,43422,41362,29174,16214,2935,2240,117649,112419,5230
"36093","05000US36093","Schenectady County, New York","Schenectady County, New York","ny","050","00","ACSSF","0000059",,,,,"36","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101548,10057,32213,29603,16144,9562,1992,1977,75758,71075,4683
"36095","05000US36095","Schoharie County, New York","Schoharie County, New York","ny","050","00","ACSSF","0000060",,,,,"36","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21332,3171,8830,5294,2271,1414,157,195,15736,14443,1293
"36097","05000US36097","Schuyler County, New York","Schuyler County, New York","ny","050","00","ACSSF","0000061",,,,,"36","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13110,1767,5227,3884,1265,724,208,35,9116,8620,496
"36099","05000US36099","Seneca County, New York","Seneca County, New York","ny","050","00","ACSSF","0000062",,,,,"36","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23627,4113,8487,6650,2831,1167,212,167,16103,15217,886
"36101","05000US36101","Steuben County, New York","Steuben County, New York","ny","050","00","ACSSF","0000063",,,,,"36","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65821,8696,24777,19501,6637,4834,743,633,46975,43325,3650
"36103","05000US36103","Suffolk County, New York","Suffolk County, New York","ny","050","00","ACSSF","0000064",,,,,"36","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005879,108071,312285,268598,176610,104626,23889,11800,778164,737466,40698
"36105","05000US36105","Sullivan County, New York","Sullivan County, New York","ny","050","00","ACSSF","0000065",,,,,"36","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52001,8292,18006,14885,6280,3788,541,209,36848,34440,2408
"36107","05000US36107","Tioga County, New York","Tioga County, New York","ny","050","00","ACSSF","0000066",,,,,"36","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34106,3888,12995,9602,4484,2547,333,257,26116,24459,1657
"36109","05000US36109","Tompkins County, New York","Tompkins County, New York","ny","050","00","ACSSF","0000067",,,,,"36","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53630,4194,11758,11559,11263,8629,1546,4681,53010,50355,2655
"36111","05000US36111","Ulster County, New York","Ulster County, New York","ny","050","00","ACSSF","0000068",,,,,"36","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125659,15430,39086,34921,19628,12678,2419,1497,95911,90507,5404
"36113","05000US36113","Warren County, New York","Warren County, New York","ny","050","00","ACSSF","0000069",,,,,"36","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46264,5239,16019,13164,6874,3691,931,346,34109,31916,2193
"36115","05000US36115","Washington County, New York","Washington County, New York","ny","050","00","ACSSF","0000070",,,,,"36","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43222,6195,17788,11823,4190,2548,506,172,30843,28542,2301
"36117","05000US36117","Wayne County, New York","Wayne County, New York","ny","050","00","ACSSF","0000071",,,,,"36","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61779,8366,21210,18960,8083,4501,474,185,47556,44298,3258
"36119","05000US36119","Westchester County, New York","Westchester County, New York","ny","050","00","ACSSF","0000072",,,,,"36","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637347,81498,147830,125136,140438,94382,34437,13626,483914,453993,29921
"36121","05000US36121","Wyoming County, New York","Wyoming County, New York","ny","050","00","ACSSF","0000073",,,,,"36","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29486,4513,12233,8515,2613,1208,309,95,19609,18494,1115
"36123","05000US36123","Yates County, New York","Yates County, New York","ny","050","00","ACSSF","0000074",,,,,"36","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15751,2622,5768,3854,1952,1165,179,211,11675,11097,578
